标题,内容
亚马逊云科技中国区域运营模式有什么特点？,AWS中国区账户不同于其他AWS全球区账户而且独立存在，目前由北京和宁夏两个区域组成。为保证更好的用户体验并遵守中国的法律法规，AWS在中国与持有相关电信牌照的本地合作伙伴开展技术合作，由本地合作伙伴向客户提供云服务。“北京光环新网科技股份有限公司”是AWS中国（北京）区域的服务运营方和提供方，“宁夏西云数据科技有限公司”是AWS中国（宁夏）区域的服务运营方和提供方。
亚马逊云科技中国区域如何付款？,中国区账号的支付方式为企业网银在线支付和线下银行汇款。客户提交完整的税务设置信息后，可为客户开具纸质发票。
亚马逊云科技中国区域需要备案吗？,根据中华人民共和国国务院令(第292号)《互联网信息服务管理办法》的规定第四条，国家对经营性互联网信息服务实行许可制度；对非经营性互联网信息服务实行备案制度。未取得许可或者未履行备案手续的，不得从事互联网信息服务。如果客户将公开访问的网站或者客户端部署在AWS中国（宁夏）区域，需要通过西云数据来申请ICP 备案，如果部署在AWS中国（北京）区域，则需要通过光环新网来申请ICP备案。
为什么我们需要光环新网/西云数据，而不能直接通过亚马逊云科技，在中国区域开展运营？,为向中国客户提供最佳体验，并遵守中国的法律和监管要求，亚马逊云科技（Amazon Web Services）与中国本地持有正规电信牌照的合作伙伴（即光环新网/西云数据）合作，并由其提供云服务。亚马逊云科技中国区域独立于中国大陆以外的其他亚马逊云科技区域。
光环新网/西云数据在中国区域运营方面发挥什么作用,北京光环新网科技股份有限公司是亚马逊云科技（北京）区域云的服务运营方和提供方，宁夏西云数据科技有限公司是亚马逊云科技（宁夏）区域云的服务运营方和提供方。
为什么客户即使仅希望使用其中一个区域的服务，仍需要同时与光环新网和西云数据签署合同？,客户通过一个中国区域账户ID，就可以同时获取两个中国区域的服务。因此，客户需要分别遵守与光环新网和西云数据的条款与条件。
亚马逊云科技与光环新网/西云数据之间是什么关系？,亚马逊云科技分别就北京区域和宁夏区域与光环新网和西云数据建立了战略技术合作伙伴关系。在该合作中，亚马逊云科技向西云数据和光环新网提供业内领先的技术、指导和专业知识。西云数据和光环新网不是亚马逊的关联公司，他们分别运营并向客户提供宁夏区域和北京区域的云服务。
为什么中国区域的合同条款由亚马逊云科技业务拓展人员与客户进行谈判？,亚马逊云科技业务拓展人员可按照光环新网/西云数据的授权与用户就适用的合同条款进行谈判。
亚马逊云科技业务拓展人员与光环新网/西云数据销售部门是什么关系？,亚马逊云科技业务拓展人员可以帮助识别中国区域的业务机会，然后再将其推荐给光环新网/西云数据。光环新网/西云数据独立处理合同签署、账单和发票开具事宜。
如何注册亚马逊云科技中国区账号？,注册中国区账户，需要中国境内营业执照以及网络信息安全负责人身份证件扫描件等材料。
如何注册亚马逊云科技全球账号？,亚马逊云科技全球账户使用邮箱注册，注册过程中需要绑定一张信用卡作为支付方式。
AWS海外区账号接受哪些付款方式？,AWS 接受所有主流信用卡。
AWS海外区何时将会收取费用？,当您的AWS使用超出AWS免费套餐期限 时，将会向您收取费用。我们提供了简便的方式来设置 账单警报，用于监控您的AWS使用情况并确保您只为自己需要的服务支付款项。
AWS海外区账号支持开具发票吗？,AWS海外区账号不支持开具发票。
什么是AWS免费套餐？,AWS免费套餐可让您获得有关AWS服务（如Amazon EC2、Amazon S3和Amazon RDS）的实践经验。AWS免费套餐包含注册AWS之日起之后有效期为12个月的免费套餐服务，以及在12个月的AWS免费套餐期限结束时不会自动过期的其他服务优惠。
AWS账号为什么停用了？,账户被关停有多种原因，例如用户自主关停账号或因账单逾期未付被关停等。
什么是 Amazon Web Services 免费套餐，如何使用它？,什么是 Amazon Web Services 免费套餐，如何使用它？每个新 Amazon Web Services 账户都将自动激活 AmazonWeb Services 免费套餐。借助 Amazon Web Services免费套餐，您可以在特定使用量限额内免费试用某些Amazon Web Services 服务。
什么是亚马逊云科技 SOCA 解决方案？,SOCA 解决方案经过严谨的安全与技术审查，通过开源Amazon Devices Lab126 HPC 生产环境框架，帮助工程师和科学家无需大量的云使用经验或 Linux 管理经验也能解決复杂问题。该解决方案结合了ISV 和亚马逊行业专业知识，广泛支持各行业的工程现代化。
智能产品解决方案用什么用途？,智能产品解决方案可实现到 Amazon Cloud 的安全产品联接，同时还包括产品中的本地计算、复杂的事件规则以及数据处理和存储的功能。此解决方案具有快速可靠的数据提取、高度可靠且持久的产品遥测数据存储、简单且可扩展的大数据服务（用于分析数据） 以及全球消息收发和应用程序服务，方便与客户建立连接。该方案提供一种联网产品服务框架，让您能够专注于扩展功能，无需管理底层基础设施的运行。您可以依托此框架构建解决方案以应对各种使用案例。
工业视觉方案有什么用途？,工业视觉方案是由硬件 +Al/ML+ 第三方服务组成的解决方案套件，旨在将制造企业现有的实物资产转化为智能资产。具备从数据自动获取、数据辅助标注、模型自动化训练和应用部署的全栈式 Al 开发工具链，支持线上模型持续自我迭代，少样本甚至零样本也可快速赋能。该方案提供了对图像/视频流进行目标检测、分割和分类所需的全套算法框架和模型，能够快速满足制造业不同场景的视觉需求。
物联网设备模拟器解决方案有什么用途？,为帮助客户更加轻松地测试设备集成和物联网 后端服务，Amazon Web Services 提供了物联网设备模拟器解决方案。该解决方案提供基于 Web 的图形用户界面 (GUI) 控制台，使客户无需配置和管理物理设备或开发耗时的脚本，即可创建和模拟数以百计的虛拟连接的设备。
自动驾驶数据湖方案中国区增强方案有何用途？,该解决方案借助亚马逊云科技丰富的机器学习、数据分析、计算和存储服务，支持 3D 点云标注和车道线检测等自动驾驶典型业务场景；充分满足全球化架构部署对自动驾驶安全与合规的要求。该端到端自动驾驶数据湖方案已在全球范围内落地，并得到广泛应用。
AWS EC2实例有哪些付费方式?,您可以选择按需付费，预留实例和spot实例。
自动驾驶数据湖解決方案有何用途？,借助亚马逊云科技丰富的数据分析服务，该端到端自动驾驶数据湖解决方案实现数据的注入、ETL（抽取、转换、加载）、编目、脱敏、标注、分析和可视化查询，充分满足全球化架构部署对自动驾驶安全与合规的要求。该解決方案已在全球范围广泛应用。
电动汽车电池单体一致性偏差报警预测有何用途？,该方案提供了一套故障预测的工具链，包括数据存储工具、数据分析工具、模型处理工具和数据展示工具，帮助主机厂加速 BMS 故障预测的机器学习开发流程，安全地在云端管理 TB 级别的电动车电池数据和车联网数据。
亚马逊云科技车联网解决方案有何用途？,此解决方案让汽车制造商和供应商能够构建无服务器IoT应用程序，用来收集、处理、分析联网汽车数据并采取相应操作，无需管理任何基础设施。利用 Amazon loT，客户可以将车辆和设备安全地连接到亚马逊云科技云，同时实现低延迟和低开销。
车联网数据湖中国区增强方案有何用途？,在车联网场景下，该解决方案能够帮助用户实现云边端协同的数据传输、处理、转换、分析和工作流管理，包括从车车端提取数据、通过 MQTT 或 HTTP 协议上传数据、以实时或者批处理形式对数据进行处理、转换和分析等。借助该解决方案，汽车和移动出行公司可以在各种联网车辆和车队的使用场景中有效地运营数据，比如预测性维护、车载服务获利、基于驾驶数据的个性化保险等。
数字资产盘活机器人解决方案有何用途？,数宇资产盘活机器人是一个将机器学习应用于业务场景的解决方案，客户可以使用此解决方案中的机器人，对其上传至 Amazon Web Services 云上的数字资产 （例如，照片、PDF文档、视频等非结构化数据)进行知识标记。标记知识将有助于客户实现业务流程自动化。
快速部署电商独立网站解决方案有何用途？,此解决方案参考架枸使用 Amazon CloudFormation 模板部署Odoo 社区版，由 Amazon EKS 力 Odoo 座用提供高可用的弾性汁算資源，使用 Amazon RDS 上的PostgreSQL 进行数据库操作，使用带有 Redis 缓存引擎的 Amazon ElastiCache 集群来存儲无状恋応用向的会活并缩短应用程序加载时间，使用 Amazon EFS 进行 EKSPods 之问的共享存储。所有资源默认由 Amazon Graviton2 构建，使用该方案模板部署的 Odoo 社区版堆枝装了 Redis、S3 等插件，井以 Amazon ELB 提供高可用及弹性支撑。
量子计算探索之药物发现解决方案有何用途？,量子计算探索之药物发现是亚马逊云科技提供的一个开源解决方案，帮助研究人员或量子计算爱好者设计、运行药物发现领域的计算研究。借助此解决方案，您可以通过Amazon Braket 服务访问量子计算机，使用 AmazonBatch 服务运行批量计算工作负载，并利用 Amazon StepFunctions 服务来编排不同的工作流程。此解决方案帮助您使用经典计算和量子计算资源来评估实验价值，例如成本、时间、性能等。
云上工作台解决方案有何用途？,云上工作台 (Service Workbench)帮助高校和科研机构的1 团队对研究人员所需的数据、工具和计算能力的访问提供安全、可重复和联合的控制。通过自动创建研究环境、简化数据访问并提供价格透明度，研究人员可以把他们宝贵的时间放到科研项目本身上，从而加快科研进程。
计算密集型高性能集群解决方案有何用途？,该方案为科研客户提供了弹性且可扩展的云基础设施、强大的编排工具和高级服务，可以轻松快速地部署和操作复杂的基于云的 HPC 系统。该方案使用 Amazon EC2 丰富的计算实例类型，可以与特定工作负载的特征相匹配，还可以利用专为 HPC 工作负载构建的高性能存储和网络选项。这意味着研究人员可以超越本地 HPC 基础设施的限制进行创新，从而实现横向扩展的应用程序。目前全球多家高校和研究机构都把不同学科的 HPC 工作负载运行在亚马逊云科技上，例如计算流体力学、合成生物学、基因组学、计算化学、金融风险建模和计算机辅助工程等。
